담당부서,담당자,직위,휴직여부,홍보여부,기관여부,공연여부,전시여부,예술교육여부,대관여부,PIN,비밀번호,계정여부,관리자여부,이메일,전화번호,내선번호,,,,,,,,
관장,Rowan Hayes 18335,관장,,,,,,,,,,,,contact0018613@example.invalid,,,,,,,,,,
관장O/H,Rowan Foster 05495,팀원,,,,,,,,,,1,,contact0018148@example.invalid,000-0000-2956,000-0004-8089,,,,,,,,
예술사업팀,Rowan Foster 07735,팀장,,,,,,,,,,1,,contact0029212@example.invalid,000-0001-4505,000-0004-8090,,,,,,,,
예술사업팀,Avery Bennett 14496,팀원,,,,,,1,,,,1,,contact0029931@example.invalid,000-0000-7954,000-0004-6049,,,,,,,,
예술사업팀,Taylor Brooks 05380,팀원,,,,1,,1,,,,1,,contact0029794@example.invalid,000-0001-2277,000-0004-8091,,,,,,,,
예술사업팀,Avery Brooks 06336,팀원,,,,,,1,1,,,1,,contact0021567@example.invalid,000-0000-9777,000-0004-8092,,,,,,,,
예술사업팀,Cameron Foster 06326,팀원,,,,,1,,,,,1,,contact0024199@example.invalid,000-0000-2825,000-0004-8093,,,,,,,,
예술사업팀,Avery Reed 08336,팀원,,1,,,,,,,ghkdtpdnd,1,True,contact0029932@example.invalid,,000-0004-8094,,,,,,,,
예술사업팀,Taylor Parker 05068,팀원,,,,,1,,,,,1,,contact0018340@example.invalid,000-0001-0706,000-0004-8058,,,,,,,,
예술사업팀,Jordan Hayes 05274,팀원,,,,1,,,,,,1,,contact0029933@example.invalid,000-0003-1432,000-0004-7716,,,,,,,,
예술사업팀,Cameron Lane 09790,팀원,,1,,,,,,,glsl,1,True,contact0029934@example.invalid,000-0001-0192,000-0004-8095,,,,,,,,
예술사업팀,Avery Bennett 22944,팀원,,,,,,,,,,1,,contact0029935@example.invalid,,,,,,,,,,
극장운영팀,Morgan Brooks 07105,팀장,,,,,,,,,,,,contact0029552@example.invalid,,,,,,,,,,
극장운영팀,Morgan Hayes 22937,팀원,,,,,,,,,,,,contact0029936@example.invalid,,,,,,,,,,
극장운영팀,Riley Brooks 07107,팀원,,,,,,,,,,,,contact0029649@example.invalid,,,,,,,,,,
극장운영팀,Cameron Bennett 07462,팀원,,,,,,,,,,,,contact0029937@example.invalid,,,,,,,,,,
극장운영팀,Jordan Bennett 06626,팀원,,,,,,,,,,,,contact0029938@example.invalid,,,,,,,,,,
극장운영팀,Jordan Hayes 07578,팀원,,,,,,,,,,,,contact0029939@example.invalid,,,,,,,,,,
극장운영팀,Jordan Ellis 07914,팀원,,,,,,,,,,1,,contact0029940@example.invalid,,,,,,,,,,
극장운영팀,Riley Hayes 12059,팀원,,,,,,,,,,,,contact0029941@example.invalid,,,,,,,,,,
시설관리팀,Taylor Foster 07732,팀장,,,,,,,,,,,,contact0024848@example.invalid,,,,,,,,,,
시설관리팀,Avery Brooks 08640,팀원,,,,,,,,,,,,contact0002861@example.invalid,,,,,,,,,,
시설관리팀,Morgan Bennett 22945,팀원,,,,,,,,,,,,contact0029942@example.invalid,,,,,,,,,,
시설관리팀,Riley Foster 21491,팀원,,,,,,,,,,,,contact0029943@example.invalid,,,,,,,,,,
시설관리팀,Cameron Brooks 07110,팀원,,,,,,,,,,,,contact0017675@example.invalid,,,,,,,,,,
시설관리팀,Avery Lane 04536,팀원,,,,,,,,,,,,contact0029944@example.invalid,,,,,,,,,,
시설관리팀,Rowan Brooks 08647,팀원,,,,,,,,,,1,,contact0029945@example.invalid,,,,,,,,,,
시설관리팀,Taylor Lane 07740,팀원,,,,,,,,,,,,contact0029946@example.invalid,,,,,,,,,,
시설관리팀,Jordan Parker 07114,팀원,,,,,,,,,,,,contact0029947@example.invalid,,,,,,,,,,
시설관리팀,Avery Brooks 07104,팀원,,,,,,,,,,,,contact0029948@example.invalid,,,,,,,,,,
운영지원팀,Morgan Reed 05841,팀장,,,,,,,,,,,,contact0029797@example.invalid,,,,,,,,,,
운영지원팀,Cameron Bennett 04518,팀원,,,,,,,,,,,,contact0029949@example.invalid,,,,,,,,,,
운영지원팀,Jordan Brooks 07106,팀원,1,,,,,,,,,,,contact0029950@example.invalid,,,,,,,,,,
운영지원팀,Taylor Reed 04564,팀원,,,,,,,,,,1,,contact0028623@example.invalid,,,,,,,,,,
운영지원팀,Taylor Brooks 07108,팀원,,,,,,,,,,,,contact0015284@example.invalid,,,,,,,,,,
운영지원팀,Avery Parker 06344,팀원,,,,,,,,,,1,,contact0028254@example.invalid,000-0000-5315,000-0004-8096,,,,,,,,
운영지원팀,Morgan Brooks 07809,팀원,,,,,,,,,,,,contact0029951@example.invalid,000-0000-1038,000-0004-8097,,,,,,,,
예술사업팀,Jordan Bennett 22946,팀원,,,,,1,,,,,1,,contact0029952@example.invalid,000-0004-8098,000-0004-8099,,,,,,,,
