대표티켓번호,판매순번,주문상태,판매일,상품명,이용일시,장소명,총매수,최종정상매수,주문자명,휴대폰번호,금액,발권상태,회원여부,판매처,주문일시,공연ID,장르1,회원키
9000000000001,9000000000002,정상,20210107,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Brooks 00001,000-0002-2660,35000,Y,N,GS칼텍스 예울마루(call),20210107110642,210114_01,클래식,
9000000000003,9000000000004,정상,20201222,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Jordan Brooks 00002,00000022661,85000,Y,Y,티켓모바일웹,20201222000139,210114_01,클래식,00000004442
9000000000005,9000000000006,정상,20210104,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Riley Brooks 00003,000-0002-2662,36000,Y,Y,GS칼텍스 예울마루(web),20210104213019,210114_01,클래식,00000016708
9000000000007,9000000000008,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Riley Brooks 00003,000-0002-2662,45000,Y,Y,GS칼텍스 예울마루(web),20201217140424,210114_01,클래식,00000016708
9000000000009,9000000000010,정상,20210110,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Taylor Brooks 00004,000-0002-2663,45000,Y,Y,GS칼텍스 예울마루(mobile),20210110112933,210114_01,클래식,00000016515
9000000000011,9000000000012,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Casey Brooks 00005,000-0002-2664,34000,Y,Y,GS칼텍스 예울마루(mobile),20201217140643,210114_01,클래식,
9000000000013,9000000000014,정상,20210113,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Brooks 00006,000-0002-2665,45000,Y,Y,GS칼텍스 예울마루(mobile),20210113103557,210114_01,클래식,
9000000000015,9000000000016,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Rowan Brooks 00007,000-0002-2666,85000,Y,Y,GS칼텍스 예울마루(web),20201217140218,210114_01,클래식,00000018722
9000000000017,9000000000018,정상,20210106,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Avery Parker 00008,000-0002-2667,140000,Y,N,GS칼텍스 예울마루(call),20210106111927,210114_01,클래식,
9000000000019,9000000000020,정상,20210106,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Avery Parker 00008,000-0002-2668,70000,Y,N,GS칼텍스 예울마루(call),20210106100959,210114_01,클래식,
